"Date","Commodity","Variant","Price (PHP)","Created At","Updated At"
"2026-04-10","Rice","Special Rice White Rice","60.4","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Rice","Premium, 5% broken","55.79","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Rice","Well Milled, 1-19% bran streak","49.72","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Rice","Regular Milled, 20-40% bran streak","44.58","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Corn","White Cob, Glutinous","78.1","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Corn","Grits White, Food Grade","120","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Corn","Grits Yellow, Food Grade","120","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Corn","Grits, Feed Grade","46.67","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Ampalaya","4-5 pcs/kg","116.56","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Chili","Green Siling Haba","93.31","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Eggplant","3-4 Small Bundles","77.39","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Pechay","3-4 Small Bundles","71.62","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Pole Sitao","3-4 Small Bundles","102.93","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Squash","Suprema Variety","69.73","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Tomato","15-18 pcs/kg","60.64","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Bell Pepper","Green, Local Medium (151-250gm/pc)","261.82","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Bell Pepper","Red, Local Medium (151-250gm/pc)","275.28","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Broccoli","Local Medium (8-10 cm diameter/bunch hd)","160.63","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Cauliflower","Local Medium (8-10 cm diameter/bunch hd)","130.83","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Cabbage","Rare Ball, 510 gm - 1 kg/head","69.59","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Cabbage","Scorpio, 750 gm - 1 kg/head","77.5","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Cabbage","Wonder Ball, 510 gm - 1 kg/head","66.56","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Carrots","Local 8-10 pcs/kg","159.38","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Celery","Medium (501-800 g)","149.4","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Chayote","Medium (301-400 g)","55.64","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Habichuelas/Baguio Beans","Habichuelas/Baguio Beans","104.54","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Lettuce","Green Ice","146.27","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Lettuce","Iceberg, Medium (301-450 cm diameter/bunch hd)","177.33","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","Lettuce","Romaine","140.6","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-10","White Potato","Local 10-12 pcs/kg","100.11","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-09","Rice","Special Rice White Rice","60.54","2026-04-11 03:40:16","2026-04-11 03:40:16"
